image_path,pred_class,edge_mass_fraction,center_of_mass_distance_px,flagged_background
Image_Folder/Mesohippus_sp_resized_gray/1.png,2,0.39801934361457825,2.6453096224155828,0
Image_Folder/Mesohippus_sp_resized_gray/10.png,2,0.5102991461753845,2.2671153560954567,0
Image_Folder/Mesohippus_sp_resized_gray/11.png,2,0.2537948489189148,0.8504886322204099,0
Image_Folder/Mesohippus_sp_resized_gray/12.png,2,0.2979171872138977,4.296665009312196,0
Image_Folder/Mesohippus_sp_resized_gray/13.png,2,0.3276050388813019,5.4200702796801865,0
Image_Folder/Mesohippus_sp_resized_gray/14.png,2,0.16190196573734283,6.65655457072937,0
Image_Folder/Mesohippus_sp_resized_gray/15.png,2,0.19517990946769714,4.991998289416722,0
Image_Folder/Mesohippus_sp_resized_gray/16.png,2,0.35109958052635193,4.28637192464924,0
Image_Folder/Mesohippus_sp_resized_gray/17.png,2,0.2243407964706421,4.831002550419161,0
Image_Folder/Mesohippus_sp_resized_gray/18.png,2,0.23732563853263855,5.959043723575891,0
Image_Folder/Mesohippus_sp_resized_gray/2.png,2,0.20922033488750458,4.797972500575628,0
Image_Folder/Mesohippus_sp_resized_gray/20.png,2,0.2299661934375763,5.350819766429505,0
Image_Folder/Mesohippus_sp_resized_gray/21.png,2,0.3817315697669983,4.100475154148288,0
Image_Folder/Mesohippus_sp_resized_gray/22.png,2,0.4881918132305145,0.19574534789365372,0
Image_Folder/Mesohippus_sp_resized_gray/23.png,2,0.7024832367897034,1.3714098676259547,1
Image_Folder/Mesohippus_sp_resized_gray/24.png,2,0.31450045108795166,2.7739938692676955,0
Image_Folder/Mesohippus_sp_resized_gray/25.png,2,0.3701722323894501,11.663016706783194,0
Image_Folder/Mesohippus_sp_resized_gray/26.png,2,0.24530847370624542,10.352118114824913,0
Image_Folder/Mesohippus_sp_resized_gray/28.png,2,0.46867239475250244,3.0500223955371206,0
Image_Folder/Mesohippus_sp_resized_gray/29.png,2,0.3551742732524872,1.2436006436535194,0
Image_Folder/Mesohippus_sp_resized_gray/3.png,2,0.2020018994808197,6.161767232826424,0
Image_Folder/Mesohippus_sp_resized_gray/30.png,2,0.6064907908439636,1.8532791673650562,1
Image_Folder/Mesohippus_sp_resized_gray/31.png,2,0.5651271343231201,1.9388374278443803,1
Image_Folder/Mesohippus_sp_resized_gray/32.png,2,0.2149740755558014,13.063517647616447,0
Image_Folder/Mesohippus_sp_resized_gray/33.png,2,0.254827618598938,8.992105600347248,0
Image_Folder/Mesohippus_sp_resized_gray/35.png,2,0.1942884624004364,8.612540415218007,0
Image_Folder/Mesohippus_sp_resized_gray/36.png,2,0.7649721503257751,4.273116535710807,1
Image_Folder/Mesohippus_sp_resized_gray/37.png,2,0.7022284865379333,4.636622082314,1
Image_Folder/Mesohippus_sp_resized_gray/38.png,2,0.29286712408065796,7.201522559267938,0
Image_Folder/Mesohippus_sp_resized_gray/39.png,2,0.34844970703125,11.232369026902091,0
Image_Folder/Mesohippus_sp_resized_gray/40.png,2,0.5899146199226379,2.617324539095132,1
Image_Folder/Mesohippus_sp_resized_gray/41.png,2,0.5460909008979797,2.2385935352200934,0
Image_Folder/Mesohippus_sp_resized_gray/42.png,2,0.3388492166996002,9.087153620740681,0
Image_Folder/Mesohippus_sp_resized_gray/43.png,2,0.4702182412147522,4.448249053286109,0
Image_Folder/Mesohippus_sp_resized_gray/44.png,2,0.3573397696018219,4.673188020801536,0
Image_Folder/Mesohippus_sp_resized_gray/45.png,2,0.19593550264835358,11.428161280179484,0
Image_Folder/Mesohippus_sp_resized_gray/46.png,2,0.19899070262908936,15.718225705309104,0
Image_Folder/Mesohippus_sp_resized_gray/47.png,2,0.2553251385688782,2.5111837050469243,0
Image_Folder/Mesohippus_sp_resized_gray/48.png,2,0.19286249577999115,0.998364237923964,0
